시군구,단지명,전용면적(평),계약년월,계약일,거래금액(만원),층,건축년도,구,동,유형,계약월,계약요일,평당금액
서울특별시 강남구 논현동,동양파라곤,48.58,202203,2022.3.21,333000,14,2004,강남구,논현동,대형,3,월,6854.67
서울특별시 강남구 논현동,동양파라곤,54.57,202204,2022.4.21,245000,5,2004,강남구,논현동,대형,4,목,4489.65
서울특별시 강남구 논현동,동양파라곤,54.57,202204,2022.4.22,224000,11,2004,강남구,논현동,대형,4,금,4104.82
서울특별시 강남구 논현동,동양파라곤,47.7,202205,2022.5.24,303000,4,2004,강남구,논현동,대형,5,화,6352.2
서울특별시 강남구 논현동,동양파라곤,43.86,202210,2022.10.11,310000,9,2004,강남구,논현동,대형,10,화,7067.94
서울특별시 강남구 논현동,동현아파트1~6,25.73,202202,2022.2.18,227500,10,1985,강남구,논현동,중형,2,금,8841.82
서울특별시 강남구 논현동,동현아파트1~6,36.54,202203,2022.3.31,273000,8,1985,강남구,논현동,대형,3,목,7471.26
서울특별시 강남구 논현동,동현아파트1~6,36.26,202204,2022.4.23,290000,11,1985,강남구,논현동,대형,4,토,7997.79
서울특별시 강남구 논현동,두산위브1단지,33.57,202207,2022.7.18,219000,9,2004,강남구,논현동,대형,7,월,6523.68
서울특별시 강남구 논현동,두산위브2단지,32.37,202204,2022.4.16,206000,9,2004,강남구,논현동,대형,4,토,6363.92
서울특별시 강남구 논현동,로체샤르캐슬,32.3,202205,2022.5.23,139000,4,2009,강남구,논현동,대형,5,월,4303.41
서울특별시 강남구 논현동,로체샤르캐슬,32.3,202211,2022.11.10,139000,4,2009,강남구,논현동,대형,11,목,4303.41
서울특별시 강남구 논현동,마일스디오빌,11,202201,2022.1.26,37000,4,2004,강남구,논현동,소형,1,수,3363.64
서울특별시 강남구 논현동,마일스디오빌,11,202201,2022.1.27,42000,14,2004,강남구,논현동,소형,1,목,3818.18
서울특별시 강남구 논현동,마일스디오빌,11,202202,2022.2.19,39000,9,2004,강남구,논현동,소형,2,토,3545.45
서울특별시 강남구 논현동,마일스디오빌,11,202203,2022.3.30,40900,14,2004,강남구,논현동,소형,3,수,3718.18
서울특별시 강남구 논현동,마일스디오빌,11,202206,2022.6.2,40500,8,2004,강남구,논현동,소형,6,목,3681.82
서울특별시 강남구 논현동,마일스디오빌,11,202206,2022.6.7,40300,6,2004,강남구,논현동,소형,6,화,3663.64
